condition\Priority	EA-NC-DG-NW	EA-NC-EG-NW	EA-NC-NG-NW	EA-NC-VG-NW	EA-SC-DG-NW	EA-SC-EG-NW	RA-NC-EG-NW	RA-NC-NG-NW	RA-SC-DG-NW	RA-SC-NG-NW	OA-NC-DG-NW	OA-NC-EG-EW	OA-NC-NG-NW	OA-SC-DG-NW	OA-SC-EG-EW	OA-SC-NG-NW	XA-NC-NG-NW																																																																																						
1st	trainable=True	trainable=True	trainable=True	trainable=True	trainable=True	trainable=True	block type=xception	block type=xception	learning rate=0.0001	learning rate=0.01	block type=xception	num blocks=1	block type=xception	block type=xception	num blocks=3	block type=xception	trainable=True																																																																																						
2nd	imagenet size=True	block type=xception	block type=xception	imagenet size=True	imagenet size=True	learning rate=0.01	trainable=True	trainable=True	trainable=True	trainable=True	filters 1 0=256	num layers=2	separable=False	learning rate=0.01	block type=xception	optimizer=adam weight decay	imagenet size=True																																																																																						
3rd	block type=xception	imagenet size=True	imagenet size=True	block type=xception	block type=xception	imagenet size=True	imagenet size=True	imagenet size=True	learning rate=0.001	learning rate=0.1	optimizer=adam weight decay	optimizer=sgd	optimizer=adam weight decay	learning rate=0.001	num layers=2	end learning rate=1e=5	pretrained=True																																																																																						
4th	optimizer=adam weight decay	version=b7	double step=True	momentum=0.1	momentum=0.1	block type=xception	augment=False	optimizer=adam weight decay	block type=xception	learning rate=0.001	end learning rate=1e=5	block type=xception	end learning rate=1e=5	optimizer=sgd	separable=True	optimizer=nadam	optimizer=adam weight decay																																																																																						
5th	optimizer=nadam	optimizer=adam weight decay	dropout=0.5	momentum=0.5	momentum=0.5	optimizer=adam	vertical flip=False	dropout=0.5	learning rate=2e=05	optimizer=adam weight decay	optimizer=nadam	momentum=0.1	dropout=0.5	momentum=0.1	reduction type=global max	learning rate=0.01	dropout=0.5																																																																																						
6th	end learning rate=1e=5	end learning rate=1e=5	triple step=True	learning rate=0.0001	learning rate=0.001	optimizer=adam weight decay	pretrained=False	end learning rate=1e=5	learning rate=1e=05	end learning rate=1e=5	learning rate=0.001	separable=True	optimizer=nadam	momentum=0.5	reduction type=global avg	learning rate=0.1	end learning rate=1e=5																																																																																						
7th	trainable=False	optimizer=nadam	version=b7	momentum=0.9	momentum=0.9	end learning rate=1e=5	rotation factor=0.0	learning rate=0.1	learning rate=0.01	optimizer=nadam	max pooling=True	learning rate=0.1	block type=resnet	learning rate=0.0001	max pooling=True	optimizer=adam	learning rate=0.0001																																																																																						
8th	double step=True	double step=True	pretrained=False	momentum=0.99	momentum=0.99	dropout=0.5	translation factor=0.0	optimizer=nadam	optimizer=sgd	block type=xception	block type=resnet	momentum=0.5	reduction type=global max	num layers=1	block type=resnet	block type=resnet	reduction type=global max																																																																																						
9th	triple step=True	triple step=True	block type=resnet	optimizer=sgd	optimizer=sgd	optimizer=nadam	horizontal flip=True	pretrained=False	momentum=0.1	optimizer=adam	dropout=0.5	momentum=0.9	learning rate=0.001	learning rate=2e=05	normalize=True	learning rate=0.001	double step=True																																																																																						
